Team	TeamId	HomeGoalsAve	AwayGoalsAve	HomeGoalsTotal	AwayGoalsTotal	HomeGoalsHalfAve	AwayGoalsHalfAve	HomeGoalsHalfTotal	AwayGoalsHalfTotal	HomeShotsAve	AwayShotsAve	HomeShotsTotal	AwayShotsTotal	HomeShotsOnTargetAve	AwayShotsOnTargetAve	HomeFirstHalfDifferentialAve	AwayFirstHalfDifferentialAve	HomeGameDifferentialAve	AwayGameDifferentialAve	HomeFirstToSecondHalfGoalRatioAve	AwayFirstToSecondHalfGoalRatioAve
NAC Breda	nac_breda	1.2058823529411764	0.8235294117647058	41	28	0.5588235294117647	0.3235294117647059	19	11	13.970588235294118	11.823529411764707	475	402	4.382352941176471	3.6470588235294117	-0.11764705882352941	-0.5588235294117647	-0.11764705882352941	-1.2647058823529411	-0.23529411764705882	-0.3333333333333333
For Sittard	for_sittard	1.3676470588235294	1.0147058823529411	93	69	0.6470588235294118	0.35294117647058826	44	24	13.970588235294118	10.426470588235293	950	709	4.544117647058823	3.573529411764706	0.16176470588235295	-0.5294117647058824	-0.11764705882352941	-0.9558823529411765	0.25	-0.5011111111111111
PSV Eindhoven	psv_eindhoven	3.25	2.6911764705882355	221	183	1.5147058823529411	1.1470588235294117	103	78	21.352941176470587	18.044117647058822	1452	1227	8.5	7.205882352941177	1.0	0.6323529411764706	2.2794117647058822	1.5294117647058822	0.6441666666666667	0.3635220125786163
Go Ahead Eagles	go_ahead_eagles	1.838235294117647	1.161764705882353	125	79	0.8676470588235294	0.45588235294117646	59	31	15.073529411764707	11.352941176470589	1025	772	5.970588235294118	3.6911764705882355	0.14705882352941177	-0.3235294117647059	0.4852941176470588	-0.5735294117647058	0.16296296296296295	-0.23684210526315788
Heerenveen	heerenveen	1.6764705882352942	1.2058823529411764	114	82	0.8823529411764706	0.5294117647058824	60	36	15.455882352941176	12.485294117647058	1051	849	5.279411764705882	4.25	0.14705882352941177	-0.20588235294117646	0.19117647058823528	-0.6911764705882353	0.15811965811965814	0.18229166666666666
Twente	twente	2.2205882352941178	1.5441176470588236	151	105	1.0294117647058822	0.6617647058823529	70	45	18.33823529411765	14.970588235294118	1247	1018	6.382352941176471	4.9411764705882355	0.5735294117647058	0.14705882352941177	1.2647058823529411	0.2647058823529412	0.42857142857142855	0.09583333333333333
Utrecht	utrecht	1.588235294117647	1.661764705882353	108	113	0.6176470588235294	0.6911764705882353	42	47	15.294117647058824	12.426470588235293	1040	845	5.3088235294117645	4.544117647058823	0.19117647058823528	-0.04411764705882353	0.4852941176470588	0.058823529411764705	0.09583333333333333	0.052845528455284535
Feyenoord	feyenoord	2.426470588235294	2.264705882352941	165	154	1.088235294117647	1.0735294117647058	74	73	20.455882352941178	16.33823529411765	1391	1111	7.397058823529412	6.426470588235294	0.6911764705882353	0.45588235294117646	1.5294117647058822	1.1323529411764706	0.483974358974359	0.359375
Zwolle	zwolle	1.2549019607843137	1.3333333333333333	64	68	0.5294117647058824	0.5098039215686274	27	26	12.666666666666666	9.568627450980392	646	488	4.294117647058823	3.8627450980392157	0.0392156862745098	-0.39215686274509803	-0.1568627450980392	-0.9607843137254902	0.06896551724137931	-0.35344827586206895
Willem II	willem_ii	1.1764705882352942	0.8235294117647058	20	14	0.47058823529411764	0.5882352941176471	8	10	10.294117647058824	7.470588235294118	175	127	3.588235294117647	2.7058823529411766	-0.17647058823529413	-0.17647058823529413	-0.4117647058823529	-0.8823529411764706	-0.3	-0.75
Vitesse	vitesse	1.1470588235294117	1.0588235294117647	39	36	0.5	0.4411764705882353	17	15	15.617647058823529	13.029411764705882	531	443	5.117647058823529	4.323529411764706	-0.20588235294117646	-0.5	-0.47058823529411764	-0.9705882352941176	-0.26666666666666666	-0.21428571428571427
Waalwijk	waalwijk	1.5490196078431373	1.0392156862745099	79	53	0.6274509803921569	0.35294117647058826	32	18	12.568627450980392	10.882352941176471	641	555	4.431372549019608	3.803921568627451	-0.0392156862745098	-0.6274509803921569	-0.058823529411764705	-1.1568627450980393	-0.008620689655172414	-0.7753623188405797
AZ Alkmaar	az_alkmaar	2.1470588235294117	1.588235294117647	146	108	1.0588235294117647	0.75	72	51	15.852941176470589	13.661764705882353	1078	929	6.161764705882353	5.073529411764706	0.5441176470588235	0.19117647058823528	0.9558823529411765	0.39705882352941174	0.2784679089026915	0.13953488372093023
Groningen	groningen	1.4509803921568627	0.9019607843137255	74	46	0.7647058823529411	0.39215686274509803	39	20	13.92156862745098	11.294117647058824	710	576	4.745098039215686	3.980392156862745	0.21568627450980393	-0.43137254901960786	0.1568627450980392	-1.196078431372549	0.5	-0.1956521739130435
Ajax	ajax	2.2941176470588234	1.9558823529411764	156	133	1.161764705882353	0.8676470588235294	79	59	17.38235294117647	13.926470588235293	1182	947	6.661764705882353	5.470588235294118	0.7941176470588235	0.23529411764705882	1.3235294117647058	0.39705882352941174	0.5538194444444444	0.2
Volendam	volendam	1.3529411764705883	0.8235294117647058	69	42	0.5294117647058824	0.37254901960784315	27	19	12.549019607843137	9.607843137254902	640	490	4.490196078431373	3.2745098039215685	-0.17647058823529413	-0.7843137254901961	-0.5882352941176471	-1.4313725490196079	-0.047619047619047616	-0.7
Nijmegen	nijmegen	2.0588235294117645	1.4411764705882353	140	98	0.6911764705882353	0.5441176470588235	47	37	15.661764705882353	12.632352941176471	1065	859	5.8088235294117645	5.014705882352941	-0.029411764705882353	-0.1323529411764706	0.5588235294117647	0.07352941176470588	-0.07291666666666666	0.06481481481481483
Almere City	almere_city	0.9117647058823529	0.7352941176470589	31	25	0.35294117647058826	0.47058823529411764	12	16	13.058823529411764	10.323529411764707	444	351	3.823529411764706	2.9411764705882355	-0.35294117647058826	-0.4117647058823529	-1.0294117647058822	-0.9411764705882353	-0.4871794871794872	-0.375
Heracles	heracles	1.5098039215686274	0.803921568627451	77	41	0.5882352941176471	0.37254901960784315	30	19	13.647058823529411	8.470588235294118	696	432	4.607843137254902	2.6862745098039214	-0.3333333333333333	-0.7058823529411765	-0.4117647058823529	-1.6274509803921569	-0.23850574712643677	-0.8166666666666667
Excelsior	excelsior	1.3333333333333333	1.1176470588235294	68	57	0.6078431372549019	0.5294117647058824	31	27	12.823529411764707	9.686274509803921	654	494	4.294117647058823	3.4705882352941178	0.13725490196078433	-0.5294117647058824	-0.13725490196078433	-1.3333333333333333	0.14	-0.6287878787878788
Telstar	telstar	1.8235294117647058	1.0588235294117647	31	18	0.7647058823529411	0.35294117647058826	13	6	13.529411764705882	12.117647058823529	230	206	5.411764705882353	4.352941176470588	0.058823529411764705	-0.35294117647058826	0.17647058823529413	-0.5294117647058824	-0.15	-0.25
Sparta Rotterdam	sparta_rotterdam	1.4411764705882353	1.3529411764705883	98	92	0.5735294117647058	0.5	39	34	13.705882352941176	12.426470588235293	932	845	4.926470588235294	4.5588235294117645	0.11764705882352941	-0.08823529411764706	0.058823529411764705	-0.058823529411764705	0.13675213675213674	0.11458333333333333
FC Emmen	fc_emmen	0.9411764705882353	1.0	16	17	0.35294117647058826	0.23529411764705882	6	4	11.529411764705882	10.529411764705882	196	179	3.9411764705882355	3.6470588235294117	-0.4117647058823529	-1.0588235294117647	-0.4117647058823529	-1.4705882352941178	-0.35714285714285715	-1.3333333333333333
Cambuur	cambuur	0.8235294117647058	0.7058823529411765	14	12	0.35294117647058826	0.23529411764705882	6	4	12.0	10.647058823529411	204	181	3.5294117647058822	4.0588235294117645	-0.5294117647058824	-0.8823529411764706	-1.1176470588235294	-1.411764705882353	0.375	-1.05
